iter	Passed	Remaining
182	308	1376
183	309	1370
184	309	1365
185	310	1359
186	311	1354
187	314	1356
188	315	1354
189	317	1354
190	319	1351
191	320	1346
192	320	1342
193	321	1337
194	322	1332
195	323	1328
196	324	1323
197	325	1318
198	329	1325
199	330	1322
200	331	1317
201	332	1312
202	333	1307
203	333	1302
204	334	1298
205	335	1293
206	336	1289
207	337	1284
208	338	1279
209	338	1274
210	339	1270
211	340	1265
212	341	1262
213	342	1258
214	344	1257
215	345	1252
216	346	1248
217	346	1243
218	347	1239
219	348	1234
220	348	1230
221	349	1225
222	350	1221
223	351	1216
224	352	1212
225	352	1208
226	353	1204
227	354	1200
228	355	1196
229	356	1194
230	357	1191
231	358	1188
232	359	1184
233	360	1180
234	361	1176
235	362	1172
236	363	1168
237	363	1164
238	364	1160
239	365	1157
240	366	1153
241	367	1149
242	367	1145
243	368	1142
244	369	1139
245	370	1136
246	371	1133
247	372	1129
248	373	1126
249	374	1122
250	375	1119
251	376	1118
252	377	1114
253	378	1111
254	379	1107
255	380	1104
256	380	1101
257	381	1097
258	382	1093
259	383	1090
260	384	1089
261	387	1090
262	389	1090
263	390	1087
264	390	1084
265	391	1081
266	392	1077
267	393	1074
268	394	1071
269	395	1068
270	396	1065
271	396	1062
272	397	1058
273	398	1055
274	399	1052
275	400	1049
276	401	1047
277	402	1045
278	403	1043
279	404	1041
280	405	1038
281	406	1035
282	407	1032
283	408	1028
284	408	1025
285	409	1022
286	410	1019
287	411	1016
288	411	1013
289	412	1010
290	413	1007
291	414	1004
292	416	1004
293	418	1004
294	419	1002
295	420	999
296	421	996
297	421	993
298	422	990
299	423	987
300	424	984
301	424	982
302	425	979
303	426	976
304	427	973
305	428	970
306	428	968
307	430	967
308	432	967
309	433	964
310	434	962
311	435	959
312	435	956
313	436	953
314	437	950
315	438	948
316	438	945
317	439	942
318	440	940
319	441	937
320	442	934
321	442	932
322	443	929
323	444	928
324	446	926
325	447	924
326	448	922
327	449	919
328	449	917
329	450	914
330	451	912
331	452	910
332	453	907
333	453	905
334	454	902
335	455	899
336	456	897
337	457	895
338	457	892
339	458	890
340	459	888
341	461	887
342	462	886
343	463	883
344	464	881
345	464	878
346	465	876
347	466	873
348	467	871
349	467	868
350	468	866
351	469	864
352	470	862
353	471	859
354	471	857
355	472	855
356	473	852
357	474	850
358	475	849
359	476	847
360	477	845
361	478	843
362	479	841
363	480	838
364	480	836
365	481	834
366	482	832
367	483	829
368	484	827
369	484	825
370	485	823
371	486	821
372	487	819
373	489	819
374	492	820
375	493	819
376	494	817
377	495	815
378	496	813
379	496	810
380	497	808
381	498	806
382	499	804
383	500	802
384	500	799
385	501	797
386	502	795
387	503	793
388	505	793
389	506	792
390	507	790
391	508	788
392	510	788
393	511	787
394	512	785
395	513	783
396	527	801
397	528	799
398	529	797
399	530	795
400	531	793
401	532	792
402	533	790
403	536	791
404	537	790
405	538	788
406	539	786
407	540	784
408	541	782
409	542	780
410	543	778
411	544	777
412	545	775
413	546	773
414	547	771
415	547	769
416	548	767
417	550	766
418	551	764
419	552	762
420	553	760
421	554	758
422	557	760
423	558	758
424	559	757
425	560	755
426	561	753
427	561	751
428	562	748
429	563	746
430	564	745
431	566	744
432	567	743
433	568	741
434	569	739
435	569	737
436	570	735
437	571	733
438	572	731
439	572	729
440	574	727
441	574	725
442	575	723
443	576	721
444	577	720
445	578	718
446	579	716
447	580	715
448	581	713
449	583	713
450	584	711
451	585	709
452	586	708
453	587	706
454	588	704
455	589	702
456	590	701
457	591	699
458	591	697
459	592	695
460	593	693
461	595	693
462	597	692
463	598	691
464	599	689
465	600	687
466	601	686
467	602	684
468	602	682
469	603	680
470	604	679
471	605	677
472	606	675
473	607	673
474	608	672
475	609	670
476	610	668
477	610	667
478	611	665
479	612	663
480	613	661
481	614	660
